abzeichen;satz;station;aufgabe_id;aufgabe;Name;Frage 1;Frage 2 ;Frage 3;Frage 4;Frage 5;Frage 6;Frage 7;Frage 8;Frage 9;Frage 10;Frage 11;min_punkte
Orange;A;1;1;1;Binden eines Mastwurfs an einem Rundholz;Mastwurf richtig gebunden*;Mastwurf durch Halbschlag gesichert*;Überhang des freien Leinenendes hat mindestens 10 x Leinendurchmesser;;;;;;;;;2
Orange;A;2;2;2;Absetzen eines Notrufs;Wer meldet;Wo*;Was*;Wie viele Verletzte;Warten*;welche Verletzungen;;;;;;5
Orange;A;3;3;3;Fachgerechtes Einschlagen von Nägeln;"Arbeitsschutzhandschuhe zum
Festhalten der Nägel angezogen*";Hammer am Ende des Stiels gehalten*;Nägel vollständig eingeschlagen;Nägel gerade eingeschlagen;;;;;;;;3
Orange;B;1;4;1;Aussteigen Kfz;Auf Kommando „Absitzen“ gewartet *;Nicht aus dem Auto gesprungen*;Rückwärts ausgestiegen*;Trittbrett benutzt ;Auf Verkehr geachtet ;PSA auf Vollständigkeit geprüft?;;;;;;4
Orange;B;2;5;2;Gerätemerken;Steckleiter ;Bohrmaschine ;Kneifzange ;Teleskop-Dreibeinstativ ;Hebekissen ;Vorschlaghammer benannt? ;;;;;;4
Orange;B;3;6;3;Pflaster aufkleben;Richtige Wahl der Handschuhe*;Wundauflage nicht verunreinigt*;Wunde vollständig abgedeckt*;Infektionsschutzhandschuhe entsorgt ;-;Verletzten beruhigt/angesprochen?;;;;;;3
Orange;C;1;7;1;Fehlersuchbild;Helm fehlt*;Handschuhe fehlen ;Essen an Einsatzstelle*;Einsatzstiefel fehlen*;Handy-Nutzung*;Leitersicherung fehlt?*;;;;;;5
Orange;C;2;8;2;Zahnkranz schneiden;Entlang der Linien geschnitten*;Schere sicher übergeben (Klinge gefasst) ;-;-;-;Scheren-Sicherung/Schluss beachtet?;;;;;;1
Orange;C;3;9;3;Schraubenmännchen;Nach Muster zusammengebaut*;Alle Teile verwendet ;Maximal zwei Versuche gebraucht ;-;-;Sicherer Stand der Figur erreicht?;;;;;;2
Blau;A;1;10;1;Nägel in T-Form einschlagen;Handschuh angezogen* ;Sitz des Hammerstiels geprüft*;Freier Arbeitsraum ;Buchstabe „T“ erkennbar*;Nägel zu 2/3 drin*;Nägel gerade ;;;;;;4
Blau;A;2;11;2;Verhalten an Unfallstelle;Warnweste angelegt*;Notruf abgesetzt*;Hinter Leitplanke aufhalten*;-;-;-;;;;;;3
Blau;A;3;12;3;UTM-Legendenzeichen;Polizei benennen ;Kirche benennen ;Krankenhaus benennen ;Bahnhof benennen ;-;-;;;;;;3
Blau;A;4;13;4;Schrauben bestücken;Schraube 1 (max. 3 Versuche)*;Schraube 2*;Schraube 3*;Schraube 4 ;Schraube 5 ;Schraube 6 ;;;;;;5
Blau;A;5;14;5;Flucht-/Hinweisschilder;Sammelplatz*;Feuerlöscher ;Durchgang verboten*;Helmpflicht ;Notausgang*;-;;;;;;3
Blau;B;1;15;1;Mastwurf an Rundholz;Mastwurf richtig gebunden*;Durch Halbschlag gesichert*;Überhang min. 10x Leinendurchmesser ;-;-;-;;;;;;2
Blau;B;2;16;2;Nägel in T-Form einschlagen;Handschuh angezogen* ;Sitz des Hammerstiels geprüft*;Freier Arbeitsraum ;Buchstabe „T“ erkennbar*;Nägel zu 2/3 drin*;Nägel gerade ;;;;;;4
Blau;B;3;17;3;Kanthölzer kreuzen;Kanthölzer gekreuzt*;Mit Gewindestange verbunden*;Unterlegscheiben verwendet ;Muttern festgezogen ;-;-;;;;;;3
Blau;B;4;18;4;Flucht-/Hinweisschilder;Sammelplatz*;Feuerlöscher ;Durchgang verboten*;Helmpflicht ;Notausgang*;-;;;;;;3
Blau;B;5;19;5;Schrauben bestücken;Schraube 1*;Schraube 2*;Schraube 3*;Schraube 4 ;Schraube 5 ;Schraube 6 ;;;;;;5
Blau;C;1;20;1;Mastwurf an Rundholz;Mastwurf richtig gebunden*;Durch Halbschlag gesichert*;Überhang min. 10x Leinendurchmesser ;-;-;-;;;;;;2
Blau;C;2;21;2;Schraube eindrehen;Passenden Schraubendreher gewählt* ;Vollständig eingedreht*;Ohne Hammer eingedreht ;-;-;-;;;;;;2
Blau;C;3;22;3;Zahnkranz aussägen;Vorlage aufgezeichnet ;Handschuh an passender Hand*;Laubsäge gewählt ;Zahnkranz erkennbar ausgesägt ;-;-;;;;;;3
Blau;C;4;23;4;Notruf absetzen;Wer meldet ;Wo*;Was*;Wie viele Verletzte ;Warten auf Rückfragen*;Welche Verletzungen ;;;;;;5
Blau;C;5;24;5;Verhalten an Unfallstelle;Warnweste angelegt*;Notruf abgesetzt*;Hinter Leitplanke aufhalten*;-;-;-;;;;;;3
Bronze;A;1;25;1;Aufschießen einer Arbeitsleine;Freies Ende etwas kürzer als normaler Schlag ;Drallfrei aufgeschossen ;Mind. 3 Schläge quer umwickelt ;Schläge eng und fest ;Überstand mind. 10x Leinendurchmesser ;;;;;;;4
Bronze;A;1;26;2;Binden einfacher Ankerstich;„Verloren fest“ um Rundholz gelegt*;Ankerstich richtig ausgeführt*;Halber Schlag zur Sicherung vorhanden ;-;-;;;;;;;2
Bronze;A;2;27;3;Bestandteile einer Leiter;Holm benannt*;Sprosse benannt *;Kopfende benannt *;Fußende benannt *;Federsperrbolzen erklärt ;;;;;;;4
Bronze;A;2;28;4;Aufrichten einer Steckleiter;Helfer für Fußpunktsicherung angewiesen *;Über Sprosse aufgerichtet und angelegt *;Anstellwinkel geprüft und ggf. korrigiert (65-75 grad) *;-;-;;;;;;;3
Bronze;A;2;29;5;Besteigen einer Steckleiter;Anstellwinkel geprüft und ggf. korrigiert (65-75 grad) *;Helfer zur Leitersicherung herangezogen *;An Sprossen festgehalten (nicht Holm) *;-;-;;;;;;;3
Bronze;A;3;30;6;Holzbearbeitungswerkzeuge;Zugmesser / Lochbeitel benannt ;Schreinerklüpfel / Raspel benannt ;Stichling / Schlangenbohrer benannt ;Latthammer benannt ;Fuchsschwanz / Schlegel benannt ;;;;;;;7
Bronze;A;3;31;7;Bestandteile PSA;Stiefel benannt *;Hose benannt *;Jacke benannt *;Arbeitsschutzhandschuhe benannt *;Schutzhelm benannt *;;;;;;;5
Bronze;A;3;32;8;Absetzen eines Notrufs;Wer meldet? ;Wo? *;Was? *;Warten auf Rückfragen *;Wie viele Verletzte / Welche Verletzungen ;;;;;;;5
Bronze;B;1;33;1;Aufschießen einer Arbeitsleine;Freies Ende etwas kürzer als normaler Schlag ;Drallfrei aufgeschossen ;Mind. 3 Schläge quer umwickelt ;Schläge eng und fest ;Überstand mind. 10x Leinendurchmesser ;;;;;;;4
Bronze;B;1;34;2;Bestandteile PSA;Stiefel benannt* ;Hose bennant*;Jacke benannt *;Arbeitsschutzhandschuhe benannt *;Schutzhelm benannt *;;;;;;;5
Bronze;B;1;35;3;Zuordnen von Löschmitteln;Elektroanlagen: Kohlendioxidlöscher*;Holz: Wasser*;Metallspäne: Sand*;Kraftstoffe: ABC-Pulver*;-;;;;;;;4
Bronze;B;2;36;4;Besteigen einer Steckleiter;Anstellwinkel geprüft und ggf. korrigiert (65-75 grad) *;Helfer zur Leitersicherung herangezogen *;An Sprossen festgehalten (nicht Holm) *;-;-;;;;;;;3
