Stufe;Prüfungs-Satz;Frage;Antwort 1;Antwort 2;Antwort 3
Blau;Satz A;Wie heißt die Hauptstadt von Deutschland? ;Berlin*;Bonn;Saarbrücken
Blau;Satz A;Wer steht an der Spitze der Bundesanstalt Technisches Hilfswerk? ;Der_die Bundesminister_in des Inneren und für Heimat ;Der_die Präsident_in*;Der_die Landesbeauftragte
Blau;Satz A;Wozu benutze ich einen Schraubendreher? ;Um den Kakao umzurühren;Zum Messen;Um eine Schraube rein oder raus zu drehen*
Blau;Satz A;Was sind Teile einer Leiter? ;Holm und Sprosse*;Sattel und Stiefel;Bleisift und Lineal
Blau;Satz A;Wie lang ist eine Arbeitsleine (nach StAN)? ;6,5m/15,0m;12,0m/25,0n;10,0m/20,0m*
Blau;Satz A;Wie heißt die Notrufnummer europaweit? ;112*;110;815
Blau;Satz A;Welches Abzeichen gibt es in der THW-Jugend? ;Seepferdchen;Leistungspange ;Leistungsabzeichen*
Blau;Satz A;Welche Stufen des Leistungsabzeichens der THW-Jugend gibt es? ;Orange, Blau, Bronze, Silber, Gold*;1,2,3;Schwarz, Rot, Gold
Blau;Satz B;Wie viele Bundesländer gibt es? ;16*;18;7
Blau;Satz B;Welche Farben hat die Deutschland-Fahne? ;Rot, Weiß, Blau;Schwarz, Rot, Gold*;Orange, Weiß, Blau
Blau;Satz B;Wer ist zu allgemeinen Hilfeleistungen verpflichtet? ;Ausschließlich die Feuerwehren;Alle*;Ausschließlich ausgebildete Helfer_innen
Blau;Satz B;Was ist ein THW-Fahrzeug? ;GKW*;RTW;TLF
Blau;Satz B;Was sind weitere Hilfsorganisationen? ;Pfadfinder und Ruderclub;DRK und Feuerwehr*;Tennisclub und Naturschutzbund
Blau;Satz B;Wer leitet die Jugendgruppen im Ortsverband? ;Der_die Ortsjugendbeauftragte und Ortsjugendleiter_in*;Der_die Ortsbeauftragte;Der_die Ausbildungsbeauftragte
Blau;Satz B;Welches Gerät wird mit Strom betrieben? ;Feuerzeug;Lampe*;GKW
Blau;Satz B;Wie Lang ist eine Arbeitsleine (nach StAN)?;6,5 m/15,0 m;12,0 m/25,0 m;10,0 m/20,0 m*
Blau ;Satz C;Wie viele Bundesländer gibt es? ;16*;18;7
Blau;Satz C;Wer steht an der Spitze der Bundesanstalt Technisches Hilfswerk? ;Der_die Bundesminster_in des Innern und für Heimat;Der_die Präsident_in*;Der_die Landesbeauftragte
Blau;Satz C;Ab welchem Alter darf ich in die THW-Jugend? ;18 Jahre;6 Jahre*;9 Jahre
Blau;Satz C;Wo muss ich bei einem Feueralarm hin? ;Auf den Spielplatz;Zum Nachbarn;Zum Sammelplatz*
Blau;Satz C;Was muss ich vor dem Essen durchführen? ;Hände waschen*;Nase putzen;Mama anrufen
Blau;Satz C;Wer leitet die Ortsjugend? ;Der_die Ortsjugendleiter_in*;Der_die Jugendbetreuer_in;Der_die Ortsbeauftragte
Blau;Satz C;Wie viele Zähne hat das THW-Zahnrad? ;8;16;12*
Blau;Satz C;Wozu benutze ich einen Schraubendreher? ;Um den Kakao umzurühren;Zum Messen;Um eine Schraube rein oder raus zu drehen*
Bronze;Satz A;In wie viele Landesverbände ist die Bundesanstalt THW gegliedert? ;11;8*;16
Bronze;Satz A;Welche Einheiten werden vom THW gestellt? ;Sanitätszüge;Bergungszüge;Technische Züge*
Bronze;Satz A;Wie muss ich mich im Einsatz bei Kälte verhalten? ;Multifunktionalen Einsatzanzug mit Fleecejacke tragen*;Glühwein trinken;Warme, alkoholfreie Getränke trinken*
Bronze;Satz A;Wozu dürfen Sicherheitsseile eingesetzt werden? ;Zur Absturzsicherung bei Verwendung eines mitlaufenden Auffanggerätes*;Zum Ablassen und Hochziehen von Personen*;Zum Anschlagen von Lasten
Bronze;Satz A;Wie viel Grad Neigung soll der Anstellwinkel von Leitern betragen? ;Ca. 45° - 55°;Ca. 65° - 75°*;Ca. 90°
Bronze;Satz A;Was ist beim Rückbau einer Flutlichtleuchte mit Stativ zu beachten? ;Leuchtmittel muss abkühlen*;Spannungsfreiheit herstellen*;"Sicherungsautomat auf Stellung ""Aus"" stellen"
Bronze;Satz A;"Welches Material darf als ""Hebeldrehpunkt"" nicht verwendet werden? ";Ziegelsteine*;Hohlblocksteine*;Holz
Bronze;Satz A;Welche Schutzbekleidung muss man am/auf dem Wasser nutzen? ;Nässeschutz, Gummistiefel;THW-Rettungsweste, Helm mit geschlossenem Kinnriemen (bei Bedarf)*;Schwimmweste, Rettungsleine
Bronze;Satz A;Welches Löschmittel darf nicht für brennende Öle/Fette verwendet werden? ;ABC-Löschpulver;Wasser*;Kohlendioxidlöscher
Bronze;Satz A;Wie müssen akute Gefahrenquellen (z. B. Stolperfallen) behandelt werden? ;Nicht beachten;Kennzeichnen, sichern und – wenn möglich – sofort beseitigen*;Dem_der unmittelbaren Vorgesetzten melden*
Bronze;Satz A;Wo ist die Ausbildung der Junghelfer_innen geregelt? ;Handbuch des THW, Sonderteil 35b;Leitfaden für die Ausbildung der Junghelfer_innen im THW*;THW-Jugend-Helferrechtsgesetz (THWJHeRG)
Bronze;Satz A;Wann hat ein_e Junghelfer_in einer Anweisung nicht Folge zu leisten? ;Wenn er_sie keine Lust hat;Bei einem Verstoß gegen die Menschenwürde*;Wenn es gesetzeswidrig ist*
Bronze;Satz B;Wer vertritt die Interessen der Helfer gegenüber dem Ortsbeauftragten? ;Der_die Beauftragte für Öffentlichkeitsarbeit;Der_die Verwaltungsbeauftragte;Der_die Helfersprecher_in*
Bronze;Satz B;Wer leitet in der Einsatzorganisation des THW-Ortsverbandes die Jugendgruppen?;Ortsjugendbeauftragte_r*;Ortsbeauftragte_r;Ausbildungsbeauftragte_r
Bronze;Satz B;Wie muss ich mich bei einem Einsatz mit Regen verhalten? ;Wenn die Kleidung durchnässt ist, trockene Kleidung anziehen*;Nasse Kleidung nicht am Körper trocknen lassen (Erkältungsgefahr)*;Pausen in trockenen Räumen abhalten und nasse Einsatzbekleidung trocknen*
Bronze;Satz B;Wozu dürfen Arbeitsleinen eingesetzt werden?;Zur Absturzsicherung;Zum Ablassen und Hochziehen von Personen;Zum Absperren oder Anschlagen von Lasten*
Bronze;Satz B;Wie werden nasse Leinen und Seile nach ihrem Einsatz behandelt? ;Aufschießen und auf die Heizung legen;Aufhängen und an der Luft trocknen*;Aufhängen und in der Sonne trocknen
Bronze;Satz B;Wohin greifen die Hände beim Besteigen von Leitern?;Um die Sprossen*;Um die Holme;Um die Sprossen oder um die Holme
Bronze;Satz B;Welche der aufgeführten Werkzeuge sind Holzbearbeitungswerkzeuge?;Zugmesser*;Spitzmeißel;Stangen-Schlangenbohrer*
Bronze;Satz B;Wie viele Personen dürfen unter einer schwebenden Last stehen? ;Eine Person;Nur Führungskräfte;Keine Personen*
Bronze ;Satz B;Welche Maßnahmen sind beim Auslaufen unbekannter Flüssigkeiten zu ergreifen?;Flüssigkeit schnellstmöglich aufwischen;Umstehende warnen*;Sofortige Meldung an die zuständige Führungskraft*
Bronze;Satz B;Wie können verletzte Personen Transportiert werden?;Mit der Krankentrage*;Mit behelfsmäßigen Tragen*;Mit zwei Einsatzkräften auch ohne Hilfsmittel*
Bronze;Satz B;Wie viele landesjugenden gibt es?;8;16;13*
Bronze;Satz B;Wer wählt den_die Bundespräsident_in?;Alle Bürger_innen;Die Bundesversammlung*;Der Bundestag
Bronze ;Satz C;Welche Stufen des Leistungsabzeichens der THW-Jugend gibt es? ;Orange, Blau, Bronze, Silber, Gold*;1, 2, 3, 4, 5;Schwarz, Rot, Gold, Blau, Weiß
Bronze;Satz C;Wie hat sich ein Helfer über den Dienstplan zu informieren? ;Er_sie kann warten, bis er ihm_ihr zugeschickt wird;Er_sie muss sich selbst informieren*;Es gibt keinen festen Dienstplan
Bronze;Satz C;Welche Leinen/Seile dürfen zum Sichern von Personen verwendet werden? ;Sicherheitsseile*;Arbeitsleinen;Jede Naturfaserleine
Bronze;Satz C;Mit welchem Stich/Bund wird eine Last angeschlagen? ;Einfacher/doppelter Ankerstich*;Mastwurf*;Bockschnürbund
Bronze ;Satz C;Dürfen Steckleitern zum Überwinden von Gräben und Spalten eingesetzt werden?;Ja*;Nein;Nur kurzfristig
Bronze;Satz C;Worauf musst du beim Umgang mit Holzbearbeitungsgeräten achten?;Auf festen Sitz der Stiele*;Auf ausreichende Schneidfähigkeit*;Auf ausreichenden Sicherheitsabstand zum_zur nächsten Helfer_in*
Bronze;Satz C;Was ist beim Durchschreiten unbekannter Gewässer als erste maßnahme zu tun?;Übergangsstelle kennzeichnen;Beschaffenheit der Übergangsstelle feststellen (Tiefen loten);Erkundende Helfer_innen sichern*
Bronze;Satz C;Was ist sofort zu tun wenn ausströmendes Gas vermutet wird?;Windrichtung beachten*;Gaskonzentration messen;Meldung an die Führungskraft*
Bronze;Satz C;Was ist mit einem Helfer zu tun, der infolge des Dienstgeschehens akute Belastungsreaktionen zeigt?;Er_sie ist auf die Versorgungsangebote der Einsatznachsorge hinzuweisen. Unterstützung, wie z. B. das Anbieten eines Einsatznachsorgegespräches, ist zu veranlassen.*;Man sollte ihn_sie alleine mit seinen_ihren möglichen Problemen lassen;Alle Helfer_innen der Gruppe informieren
Bronze;Satz C;Wann wurde die THW-Jugend e.V. gegründet? ;1994;1984*;1953
Bronze ;Satz C;Ist ein_e Junghelfer_in auf dem Weg zum Dienst versichert?;Ja*;Nein;Nur, wenn er_sie Jugendbekleidung trägt
Bronze;Satz C;Wo sind die Grundrechte der Bürger_innen der BundesrepublikDeutschland geregelt?;Im Strafgesetzbuch (StGB);Im Grundgesetz (GG)*;Im Grundbuch (GB)
Bronze ;Satz D;Wie wird die Anwesenheit des Helfers bei Dienstveranstaltungen in der Regel erfasst?;Durch Eintrag ins Dienstbuch;Durch Eintrag in die Personalakte;Durch elektronische Erfassung*
Bronze;Satz D;Welche persönliche Schutzausstattung ist immer mitzuführen? ;Helm, Sicherheitsstiefel, THW Einsatzhandschuhe, Multifunktionaler Einsatzschutzanzug*;Helm, Multifunktionaler Einsatzschutzanzug, Schutzbrille;Helm, Sicherheitsstiefel, Lederschürze, Multifunktionaler Einsatzschutzanzug
Bronze;Satz D;Wer kann für Vergehen im Umgang mit Gefahrstoffen zur Verantwortung gezogen werden (z. B. Bußgeld)?;Alle Helfer_innen*;Nur der_die Präsident_in des THW;Nur der_die Auftraggeber_in
Bronze;Satz D;Worauf ist zu achten, wenn Leinen und Seile über Kanten geführt werden müssen?;Auf Gleitschutz;Auf Kantenschutz*;Auf Leinen-/Seilschutz*
Bronze ;Satz D;Wie groß muss der Sicherheitsabstand bei unter Zug stehenden Drahtseilen mindestens sein?;Halbe Seillänge;Eineinhalbfache Seillänge*;Zweifache Seillänge
Bronze;Satz D;Auf welche Netzspannung sind die Flutlichtleuchten ausgelegt?;12 Volt;24 Volt;230 Volt*
Bronze ;Satz D;Wie wird eine Bauklammer in Holz geschlagen?;Durch wechselseitige Schläge über den rechtwinklig abgebogenen Spitzen*;Durch Schläge auf die Mitte des Flach- oder Rundstahls;Durch wechselseitige Schläge auf die Mitte und die rechtwinklig abgebogenen Spitzen
Bronze ;Satz D;Wie weit soll ein Sandsack nach dem Verschließen gefüllt sein?;Zu ca. 50 %;Zu ca. 66 %*;Zu ca. 100 %
Bronze ;Satz D;Wie hast du dich als Helfer_in vor, während und nach der Fahrt mit Einsatzfahrzeugen zu verhalten?;Helm nicht in der Hand halten*;Bei Halt des Einsatzfahrzeuges dieses sofort verlassen;Auf- und Absitzen nur auf Anweisung*
Bronze ;Satz D;Wie kann sich ein_e Helfer_in vor Gefahrenquellen im Einsatz schützen?;Persönliche Schutzbekleidung vorschriftsmäßig tragen*;Unfallverhütungsvorschriften beachten*;Nach eigenen Vorstellungen handeln
Bronze;Satz D;Wer leitet die Bundesjugend? ;Der_die Präsident_in;Der_die Bundesjugendleiter_in*;Der_die Bundesjugendsekretär_in
Bronze;Satz D;Wie viele Bundesländer gibt es?;16*;18;7
Bronze;Satz E;Wann wurde das THW gegründet? ;1949;1950*;1956
Bronze;Satz E;Wer leitet den Ortsverband? ;Der_die Leiter_in der Regionalstelle;Der_die Ortsbeauftragte*;Der_die Zugführer_in
Bronze;Satz E;Wie muss ich mich im Einsatz bei Hitze verhalten?;Viel trinken*;Pause in der Sonne;Pause im Schatten*
Bronze;Satz E;Woran ist ein Sicherheitsseil eindeutig zu erkennen?;"An der Farbe ""Grün""";An den Angaben des Herstelleretikettes*;Am Durchmesser
Bronze ;Satz E;Was ist beim Nachtanken eines tragbaren Stromerzeugers (ohne Fremdbetankungsgerät) zu beachten?;Motor muss abgestellt sein*;Motor kann laufen;Benzinhahn muss geschlossen sein*
Bronze;Satz E ;Mit welchem Werkzeug werden Blechkanten und Rohre entgratet?;Mit der Feile*;Mit dem Meißel;Mit der Handblechschere
Bronze;Satz E;Wie muss beim Anlegen von Sandsackdämmen die unterste Lage Sandsäcke (zugebunden) gepackt werden?;Quer zur Wasserseite;Mit der Einfüllöffnung zur Wasserseite;Mit dem Sackboden zur Wasserseite*
Bronze;Satz E;Wer ist verpflichtet zu melden?;Nur der_die Zugführer_in;Nur der_die Gruppenführer_in;Jede Einsatzkraft*
Bronze;Satz E;"Was bedeutet die Abkürzung ""e.V.""? ";Evangelischer Verein;Eingeschränkter Verein;Eingetragener Verein*
Bronze;Satz E;Was ist zu tun, wenn sich ein_e Junghelfer_in verletzt?;Keine Maßnahmen erforderlich;Meldung an Gruppenleiter_in*;Erste Hilfe leisten*
Bronze;Satz E;Darf ein_e Junghelfer_in am unmittelbaren Einsatzgeschehen teilnehmen?;Nein*;Ja, aber nur mit Betreuer_in;Wenn er_sie es sich selbst zutraut
Bronze;Satz E;In welchem Bundesland liegt die Bundeshauptstadt?;Niedersachsen;Berlin*;Thüringen
Silber;Satz A;Wer leitet deinen Landesverband? ;Der_die Landessprecher_in;Der Landesausschuss;Der_die Landesbeauftragte*
Silber;Satz A;Wer vertritt die Interessen der Helfer_innenschaft gegenüber dem_der Ortsbeauftragten?;Der_die Beauftragte für Öffentlichkeitsarbeit;Der_die Verwaltungsbeauftragte;Der_die Helfersprecher_in*
Silber;Satz A;Wozu bist du verpflichtet, um deine Erreichbarkeit zu gewährleisten?;Jeden Wohnungswechsel anzuzeigen*;Telefonische Erreichbarkeiten (privat und beruflich) anzuzeigen*;Nicht in Urlaub zu fahren
Silber;Satz A;Wofür steht die Abkürzung StAn? ;Ständige Ausstattungsnachweisung;Stärke- und Ausstattungsnachweisung*;Standard-Ausstattungsnachweisung
Silber;Satz A;In welcher Fachgruppe gibt es Baumaschinen?;Räumen*;Elektroversorgung;Wassergefahren
Silber;Satz A;Wo können THW-Angehörige mit Gefahrstoffen in Berührung kommen?;Zu Hause;Im Einsatz*;Im Ortsverband*
Silber;Satz A;Welche Impfungen müssen für die Einsatzbefähigung nachgewiesen werden? ;Tetanus*;Tollwut;Hepatitis A und B*
Silber;Satz A;Wozu dienen Bandschlingen?;Zum Retten von Personen*;Zum Anschlagen von Lasten*;Zur Ladungssicherung
Silber;Satz A;Welche Arten von Leitersicherungen können angewandt werden?;Nur Fußpunktsicherung;Nur Kopfpunktsicherung;Fuß- und/oder Kopfpunktsicherung*
Silber;Satz A;Was ist beim Nachtanken eines tragbaren Stromerzeugers (ohne Fremdbetankungsgerät) zu beachten?;Motor muss abgestellt sein*;Motor kann laufen;Benzinhahn muss geschlossen sein*
Silber;Satz A;Was ist beim Aufbau einer Flutlichtleuchte mit Stativ zu beachten?;Möglichst blendfrei aufstellen*;Sicheren Stand des Stativs herstellen*;Leitung stolperfrei verlegen*
Silber;Satz A;Mit welchem Werkzeug werden Blechkanten und Rohre entgratet?;Mit der Feile*;Mit dem Meißel;Mit der Handblechschere
Silber;Satz A;Über welche Druck-, Kraft-, Hebezeuge verfügt die Bergungsgruppe?;Brechstange*;Hebe-/Pressgerät, hydraulisch*;Hebekissen*
Silber;Satz A;Was ist nach dem Abscheren der Scherstifte beim Zuggerät zu tun?;Das Gerät kann nicht repariert werden;Die Scherstifte sind auszutauschen*;Das Gerät an den Hersteller einschicken
